State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Suryapet,2023-11-29,2023,11,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-12-06,2023,12,45.9333134798,NRSC VIC MODEL
Telangana,Suryapet,2023-12-08,2023,12,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-12-10,2023,12,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-12-12,2023,12,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-12-25,2023,12,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-01-05,2023,01,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-01-12,2023,01,6.43058e-05,NRSC VIC MODEL
Telangana,Vikarabad,2023-01-19,2023,01,0.0004567265,NRSC VIC MODEL
Telangana,Vikarabad,2023-01-20,2023,01,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-01-25,2023,01,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-02-02,2023,02,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-02-10,2023,02,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-02-12,2023,02,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-04,2023,03,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-11,2023,03,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-15,2023,03,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-20,2023,03,0.0280801502,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-28,2023,03,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-03-29,2023,03,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-10,2023,04,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-18,2023,04,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-20,2023,04,0.2344391864,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-25,2023,04,0.0001554139,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-26,2023,04,32.9755300983,NRSC VIC MODEL
Telangana,Vikarabad,2023-04-30,2023,04,0.5291004213,NRSC VIC MODEL
Telangana,Vikarabad,2023-05-05,2023,05,0.5460571295,NRSC VIC MODEL
Telangana,Vikarabad,2023-05-07,2023,05,4.3540665353,NRSC VIC MODEL
Telangana,Vikarabad,2023-05-17,2023,05,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-05-20,2023,05,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-05-29,2023,05,0.5926726795,NRSC VIC MODEL
Telangana,Vikarabad,2023-06-03,2023,06,0.0048956727,NRSC VIC MODEL
Telangana,Vikarabad,2023-06-08,2023,06,5.493901759,NRSC VIC MODEL
Telangana,Vikarabad,2023-06-11,2023,06,10.0757285192,NRSC VIC MODEL
Telangana,Vikarabad,2023-06-16,2023,06,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-06-20,2023,06,0.0003458011,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-01,2023,07,0.0016256797,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-08,2023,07,4.8801443005,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-10,2023,07,0.2621151699,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-15,2023,07,1.4524899919,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-16,2023,07,10.239936483,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-22,2023,07,32.3101136404,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-30,2023,07,0.6555218728,NRSC VIC MODEL
Telangana,Vikarabad,2023-07-31,2023,07,1.5860242972,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-08,2023,08,4.25034e-05,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-15,2023,08,0.1550172594,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-20,2023,08,1.9753828127,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-22,2023,08,0.0074823721,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-28,2023,08,2.4025573959,NRSC VIC MODEL
Telangana,Vikarabad,2023-08-31,2023,08,0.0031936044,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-01,2023,09,0.000512332,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-02,2023,09,0.003117951,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-04,2023,09,11.3388160714,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-11,2023,09,23.3046562314,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-12,2023,09,1.8810761375,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-26,2023,09,3.9437073043,NRSC VIC MODEL
Telangana,Vikarabad,2023-09-28,2023,09,3.866067395,NRSC VIC MODEL
Telangana,Vikarabad,2023-10-10,2023,10,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-10-25,2023,10,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-10-28,2023,10,0.0016306724,NRSC VIC MODEL
Telangana,Vikarabad,2023-10-30,2023,10,0.0003706092,NRSC VIC MODEL
Telangana,Vikarabad,2023-11-10,2023,11,9.0395385564,NRSC VIC MODEL
Telangana,Vikarabad,2023-11-12,2023,11,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-12-09,2023,12,0.0006898766,NRSC VIC MODEL
Telangana,Vikarabad,2023-12-18,2023,12,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-12-19,2023,12,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-12-23,2023,12,0.0,NRSC VIC MODEL
Telangana,Vikarabad,2023-12-28,2023,12,6.3361e-06,NRSC VIC MODEL
